,,,TR,AZE,,,,,,TR,AZE,,,,,,,,,,,,,,,,
,,Ilkin Kapital,500000,500000,User selected (50k-1M Eur),,,Digər xərclər (illik),,600,600,preset variable,,,,,,,,,,,,,,,
,,Leverage,400000,400000,80% of initial investment,,,Həyat sığortası (illik),,120,1200,preset variable /  0.3% of loan amount,,,,,,,,,,,,,,,
,,Əmlak investisiyası,900000,900000,D3+D4*,,,Kiraye Gəliri koeffisienti,,4.889%,3.111%,preset variable,,,,,,,,,,,,,,,
,,Loan Interest rate (euro),7.08%,6.50%,preset variable,,,Aylıq İpoteka Ödənişi,,699.13,681.29,from Loan calculator,,,,,,,,,,,,,,,
,,Mortgage period (years),10,10,User selected (2-10 years),,,,,,,,,,,,,,,,,,,,,,
,,Appraisal rate,7.30%,5.00%,preset variable,,,,,,,,,,,,,,,,,,,,,,
,,Rental growth,5.90%,4.00%,preset variable,,,,,,,,,,,,,,,,,,,,,,
,,Interest rate (Euro),0.50%,3.00%,preset variable,,,,,,,,,,,,,,,,,,,,,,

,,Years,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,,,,,,,,,,,,,,
1,"with mortgage 
(TR)",Ilkin kapital," (500,000)", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,
,,Digər xərclər," (45,000)", (600), (600), (600), (600), (600), (600), (600), (600), (600), (600),,,,,,,,,,,,,,
,,Həyat sığortası,, (120), (120), (120), (120), (120), (120), (120), (120), (120), (120),,,,,,,,,,,,,,
,,Əmlakın dəyər artımı,," 65,700 "," 70,496 "," 75,642 "," 81,164 "," 87,089 "," 93,447 "," 100,268 "," 107,588 "," 115,442 "," 123,869 ",,,,,,,,,,,,,,
,,Kirayə gəliri,," 44,000 "," 46,596 "," 49,345 "," 52,256 "," 55,339 "," 58,604 "," 62,062 "," 65,724 "," 69,602 "," 73,709 ",,,,,,,,,,,,,,
,,Kredit geri ödəməsi,," (8,390)"," (8,390)"," (8,390)"," (8,390)"," (8,390)"," (8,390)"," (8,390)"," (8,390)"," (8,390)"," (8,390)",,,,,,,,,,,,,,
,,Ümumi gəlir," (545,000)"," 100,590 "," 107,983 "," 115,878 "," 124,311 "," 133,319 "," 142,941 "," 153,221 "," 164,202 "," 175,934 "," 188,469 ",,,,,,,,,,,,,,
,,Aylıq net geri ödəmə məbləği,," 2,908 "," 3,124 "," 3,353 "," 3,596 "," 3,852 "," 4,125 "," 4,413 "," 4,718 "," 5,041 "," 5,383 ",,,,,,,,,,,,,,
,,Yatırımın Net Dəyəri (il sonuna),," 925,085 "," 1,041,457 "," 1,165,724 "," 1,298,424 "," 1,440,133 "," 1,591,463 "," 1,753,074 "," 1,925,665 "," 2,109,989 "," 2,306,847 ",,Grafik 1A,,,,,,,,,,,,
,,Əmlakın gözlənilən dəyəri,," 965,700 "," 1,036,196 "," 1,111,838 "," 1,193,003 "," 1,280,092 "," 1,373,539 "," 1,473,807 "," 1,581,395 "," 1,696,837 "," 1,820,706 ",,Grafik 2A,,,,,,,,,,,,
,,Gözlənilən yatırım qazancı (Net),,,,,," 895,133 ",,,,," 1,761,847 ",,,,,,,,,,,,,,
,,Qazanc Marjası,,,,,,164%,,,,,323%,,,,,,,,,,,,,,


,,Years,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,,,,,,,,,,,,,,
2,"with mortgage 
(AZE)",İlkin kapital," (500,000)", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,
,,Digər xərclər," (45,000)", (600), (600), (600), (600), (600), (600), (600), (600), (600), (600),,,,,,,,,,,,,,
,,Heyat Sigortasi,," (1,200)"," (1,200)"," (1,200)"," (1,200)"," (1,200)"," (1,200)"," (1,200)"," (1,200)"," (1,200)"," (1,200)",,,,,,,,,,,,,,
,,Əmlakın dəyər artımı,," 45,000 "," 47,250 "," 49,613 "," 52,093 "," 54,698 "," 57,433 "," 60,304 "," 63,320 "," 66,485 "," 69,810 ",,,,,,,,,,,,,,
,,Kirayə gəliri,," 28,000 "," 29,120 "," 30,285 "," 31,496 "," 32,756 "," 34,066 "," 35,429 "," 36,846 "," 38,320 "," 39,853 ",,,,,,,,,,,,,,
,,Kredit geri ödəməsi,," (8,175)"," (8,175)"," (8,175)"," (8,175)"," (8,175)"," (8,175)"," (8,175)"," (8,175)"," (8,175)"," (8,175)",,,,,,,,,,,,,,
